indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,580,northern mariana islands,mp,1,1950,-239.0
total net number of migrants,580,northern mariana islands,mp,2,1951,-116.0
total net number of migrants,580,northern mariana islands,mp,3,1952,-110.0
total net number of migrants,580,northern mariana islands,mp,4,1953,-101.0
total net number of migrants,580,northern mariana islands,mp,5,1954,-89.0
total net number of migrants,580,northern mariana islands,mp,6,1955,-69.0
total net number of migrants,580,northern mariana islands,mp,7,1956,-44.0
total net number of migrants,580,northern mariana islands,mp,8,1957,-13.0
total net number of migrants,580,northern mariana islands,mp,9,1958,-4.0
total net number of migrants,580,northern mariana islands,mp,10,1959,-9.0
total net number of migrants,580,northern mariana islands,mp,11,1960,11.0
total net number of migrants,580,northern mariana islands,mp,12,1961,31.0
total net number of migrants,580,northern mariana islands,mp,13,1962,46.0
total net number of migrants,580,northern mariana islands,mp,14,1963,58.0
total net number of migrants,580,northern mariana islands,mp,15,1964,70.0
total net number of migrants,580,northern mariana islands,mp,16,1965,71.0
total net number of migrants,580,northern mariana islands,mp,17,1966,64.0
total net number of migrants,580,northern mariana islands,mp,18,1967,-379.0
total net number of migrants,580,northern mariana islands,mp,19,1968,-907.0
total net number of migrants,580,northern mariana islands,mp,20,1969,-872.0
total net number of migrants,580,northern mariana islands,mp,21,1970,501.0
total net number of migrants,580,northern mariana islands,mp,22,1971,1032.0
total net number of migrants,580,northern mariana islands,mp,23,1972,1074.0
total net number of migrants,580,northern mariana islands,mp,24,1973,753.0
total net number of migrants,580,northern mariana islands,mp,25,1974,-126.0
total net number of migrants,580,northern mariana islands,mp,26,1975,-175.0
total net number of migrants,580,northern mariana islands,mp,27,1976,-206.0
total net number of migrants,580,northern mariana islands,mp,28,1977,-217.0
total net number of migrants,580,northern mariana islands,mp,29,1978,-205.0
total net number of migrants,580,northern mariana islands,mp,30,1979,-169.0
total net number of migrants,580,northern mariana islands,mp,31,1980,1487.0
total net number of migrants,580,northern mariana islands,mp,32,1981,2154.0
total net number of migrants,580,northern mariana islands,mp,33,1982,2297.0
total net number of migrants,580,northern mariana islands,mp,34,1983,2446.0
total net number of migrants,580,northern mariana islands,mp,35,1984,2573.0
total net number of migrants,580,northern mariana islands,mp,36,1985,2669.0
total net number of migrants,580,northern mariana islands,mp,37,1986,2723.0
total net number of migrants,580,northern mariana islands,mp,38,1987,2649.0
total net number of migrants,580,northern mariana islands,mp,39,1988,2592.0
total net number of migrants,580,northern mariana islands,mp,40,1989,2637.0
total net number of migrants,580,northern mariana islands,mp,41,1990,-286.0
total net number of migrants,580,northern mariana islands,mp,42,1991,-1406.0
total net number of migrants,580,northern mariana islands,mp,43,1992,-1550.0
total net number of migrants,580,northern mariana islands,mp,44,1993,-1553.0
total net number of migrants,580,northern mariana islands,mp,45,1994,-1513.0
total net number of migrants,580,northern mariana islands,mp,46,1995,784.0
total net number of migrants,580,northern mariana islands,mp,47,1996,6015.0
total net number of migrants,580,northern mariana islands,mp,48,1997,6329.0
total net number of migrants,580,northern mariana islands,mp,49,1998,6378.0
total net number of migrants,580,northern mariana islands,mp,50,1999,6320.0
total net number of migrants,580,northern mariana islands,mp,51,2000,-1149.0
total net number of migrants,580,northern mariana islands,mp,52,2001,-3749.0
total net number of migrants,580,northern mariana islands,mp,53,2002,-3923.0
total net number of migrants,580,northern mariana islands,mp,54,2003,-4069.0
total net number of migrants,580,northern mariana islands,mp,55,2004,-4233.0
total net number of migrants,580,northern mariana islands,mp,56,2005,-4365.0
total net number of migrants,580,northern mariana islands,mp,57,2006,-4415.0
total net number of migrants,580,northern mariana islands,mp,58,2007,-4370.0
total net number of migrants,580,northern mariana islands,mp,59,2008,-4207.0
total net number of migrants,580,northern mariana islands,mp,60,2009,-3995.0
total net number of migrants,580,northern mariana islands,mp,61,2010,-3917.0
total net number of migrants,580,northern mariana islands,mp,62,2011,-918.0
total net number of migrants,580,northern mariana islands,mp,63,2012,-914.0
total net number of migrants,580,northern mariana islands,mp,64,2013,-906.0
total net number of migrants,580,northern mariana islands,mp,65,2014,-884.0
total net number of migrants,580,northern mariana islands,mp,66,2015,-866.0
total net number of migrants,580,northern mariana islands,mp,67,2016,-852.0
total net number of migrants,580,northern mariana islands,mp,68,2017,-830.0
total net number of migrants,580,northern mariana islands,mp,69,2018,-817.0
total net number of migrants,580,northern mariana islands,mp,70,2019,-806.0
total net number of migrants,580,northern mariana islands,mp,71,2020,-431.0
total net number of migrants,580,northern mariana islands,mp,72,2021,-431.0
total net number of migrants,580,northern mariana islands,mp,73,2022,-50.0
total net number of migrants,580,northern mariana islands,mp,74,2023,-50.0
